Pitcher,PitcherTeam,TaggedPitchType,Stuff+,RelSpeed,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,AdjustedVAA,AdjustedHAA
"Schlotzhauer, Ryan",IWC,ChangeUp,121,78.452995,6.30345,-1.172705,6.892155,11.635715000000001,-5.6432899999999995,-0.184237873932664,-0.49879874656306045
"Jefferis, Jagger",USC_UPS,ChangeUp,121,77.05012899082568,5.682181743119266,-1.6297191743119266,4.512412568807339,9.836097064220183,-17.415153119266055,-0.39822584160664587,-0.7054628872196858
"Bremner, Tyler",SAN_GAU,ChangeUp,121,83.350624279661,5.60623,2.678944194915254,5.783180805084746,6.951175423728814,19.389822669491526,0.11495621090240235,-0.45382716475227314
"Lanthier, Ethan",KAN_JAY,ChangeUp,121,85.4956947826087,5.8760834782608695,2.102836956521739,5.824980869565217,5.349483913043478,18.400934782608694,0.026573221716438868,0.16997937779965425
"Shapiro, Evan",KS_GF,ChangeUp,121,77.036187,6.501624666666667,2.540378666666667,5.512915666666667,-1.1343850000000002,11.685951,-1.8912981855967603,-0.7930519883841165
"Marrujo, Eric",CAL_HIG,ChangeUp,121,76.13741791666666,5.374692499999999,1.9232020833333332,6.417890416666666,7.402694166666667,21.147330416666666,-0.2624433805380511,0.6509354298138654
"Byrne, Connor",SIE_SAI,ChangeUp,121,74.84054333333334,5.182066666666667,1.3836000000000002,6.0158733333333325,9.325173333333334,22.25811,-0.04429166864988332,1.3868209387806054
"McNaught, Ray",QUI_BOB,Splitter,121,81.05858,6.4779824999999995,0.581665,6.347405,13.87219,16.656257500000002,0.022037933559917455,1.9941929771149178
"Bean, Jacob",KS_GF,ChangeUp,121,83.861718,5.4723880000000005,1.585486,6.500548,8.51087,20.348482,0.5088050470606087,0.6290566521213917
"Tomczak, Seth",CAL_FUL,ChangeUp,121,84.4603311111111,5.7043172222222225,1.6654227777777777,6.117831111111111,7.0363066666666665,21.67680111111111,0.21153342521411794,0.8331149575887445
"Kelly, Riley",CAL_ANT,ChangeUp,121,84.4688175,6.33371625,2.06865125,6.17494375,11.17374625,10.3518575,-0.14710610662132473,-0.6069463394261461
"Hughes, Jacob",LOY_LIO,Splitter,120,80.06886903846154,6.403589423076923,1.7663473076923077,5.620485576923077,4.766291730769231,12.628376923076924,-0.6465612738152161,0.22067582475738143
"West, John",BOC_EAG,ChangeUp,120,84.88674436363635,5.175359757575757,2.5761314545454543,5.84033896969697,-4.951165818181818,14.419375090909092,-0.28746483621253943,-0.7469670190914434
"Dittner, Reid",LON_LAN,Splitter,120,83.13843999999999,6.439891428571428,1.7285357142857143,5.9452871428571425,1.7888542857142855,9.573082857142856,-0.5822758242758367,-0.037683560329019726
